number,value,datetime_start,datetime_complete,duration,params_actor_lr,params_alpha_lr,params_batch_size,params_critic_lr,params_update_every,state
0,-224.54275874632083,2025-05-22 00:23:01.789402,2025-05-22 01:28:49.885642,0 days 01:05:48.096240,5.440861455014879e-06,1.929126375339419e-06,1024,3.0937944402098622e-06,20,COMPLETE
1,-32.54659596721978,2025-05-22 01:28:49.894886,2025-05-22 02:58:02.895238,0 days 01:29:13.000352,0.00043587612497289225,9.885525101667636e-06,1024,0.0008594813346599665,10,COMPLETE
2,-9.075993145116238,2025-05-22 02:58:02.897463,2025-05-22 04:13:24.581029,0 days 01:15:21.683566,2.952148402874409e-06,0.0001868800685666937,2048,7.107892284836345e-06,20,COMPLETE
3,869.893809066163,2025-05-22 04:13:24.581029,2025-05-22 05:42:38.916447,0 days 01:29:14.335418,0.0009216496006177501,1.3276731088340565e-06,1024,4.490559292366559e-06,10,COMPLETE
4,1129.755030825957,2025-05-22 05:42:38.916447,2025-05-22 07:56:16.126189,0 days 02:13:37.209742,4.291397459986918e-05,2.6006127828822917e-05,1024,7.317519514681432e-05,5,COMPLETE
5,533.7543896914389,2025-05-22 07:56:16.127190,2025-05-22 10:39:09.762734,0 days 02:42:53.635544,0.0003881871640886335,6.77305169010225e-06,2048,2.069622121243082e-06,5,COMPLETE
6,-27.46566534059233,2025-05-22 10:39:09.763730,2025-05-22 11:44:18.810644,0 days 01:05:09.046914,8.096982357206252e-05,6.031351581902532e-06,1024,7.384704110528324e-05,20,COMPLETE
7,-432.9672562907163,2025-05-22 11:44:18.811645,2025-05-22 13:33:23.309021,0 days 01:49:04.497376,3.384204729433686e-05,3.899552258545093e-05,2048,5.163935451495386e-06,10,COMPLETE
8,,2025-05-22 13:33:23.309021,2025-05-22 15:22:55.420175,0 days 01:49:32.111154,1.97974992270443e-06,1.0571154075604108e-05,2048,2.145616564160125e-05,5,PRUNED
9,,2025-05-22 15:22:55.420175,2025-05-22 15:22:56.301948,0 days 00:00:00.881773,1.5389297596746427e-06,1.2404392455718316e-05,1024,1.3082779536793024e-06,20,PRUNED
10,,2025-05-22 15:22:56.301948,2025-05-22 15:22:56.671454,0 days 00:00:00.369506,1.251794800649766e-05,0.0006391408802998814,1024,0.00018259754873338574,5,PRUNED
11,,2025-05-22 15:22:56.671454,2025-05-22 15:22:57.045783,0 days 00:00:00.374329,0.0009692392378656644,1.2116160146839268e-06,1024,2.298650162111273e-05,10,PRUNED
12,,2025-05-22 15:22:57.045783,2025-05-22 15:22:57.257905,0 days 00:00:00.212122,0.00010977817030159717,9.17480086677611e-05,1024,0.0001347454432912116,10,PRUNED
13,,2025-05-22 15:22:57.258908,2025-05-22 15:22:57.536078,0 days 00:00:00.277170,0.00012623020304308207,3.005135361862236e-06,1024,1.0224384828124356e-05,5,PRUNED
14,,2025-05-22 15:22:57.537089,2025-05-22 15:22:57.741408,0 days 00:00:00.204319,2.013304415327624e-05,3.0532702757068174e-05,1024,5.63475137040155e-05,10,FAIL
